route_id,direction_letter,stop_id_orig,stop_name_orig,avg_station_time_orig,num_trips,stop_id_dest,stop_name_dest,avg_station_time_dest,lag_time,route_list,full_name_orig,route_color,keep
F,N,G14N,Jackson Hts-Roosevelt Av,4317.85714285714,28,F01N,Jamaica-179 St,5672.5,00:22:34.642857,E/F,Jackson Hts-Roosevelt Av E/F,#EB6800,1
F,N,G14N,Jackson Hts-Roosevelt Av,4317.85714285714,28,F03N,Parsons Blvd,5215.2,00:14:57.342857,E/F,Jackson Hts-Roosevelt Av E/F,#EB6800,1
F,N,G14N,Jackson Hts-Roosevelt Av,4317.85714285714,28,F06N,Kew Gardens-Union Tpke,4898.07692307692,00:09:40.219780,E/F,Jackson Hts-Roosevelt Av E/F,#EB6800,1
F,N,G14N,Jackson Hts-Roosevelt Av,4317.85714285714,28,G08N,Forest Hills-71 Av,4667.77777777778,00:05:49.920635,E/F/M/R,Jackson Hts-Roosevelt Av E/F/M/R,#EB6800,1
F,N,G21N,Queens Plaza,3966.20689655172,29,F01N,Jamaica-179 St,5672.5,00:28:26.293103,E/F,Queens Plaza E/F,#EB6800,1
F,N,G21N,Queens Plaza,3966.20689655172,29,F03N,Parsons Blvd,5215.2,00:20:48.993103,E/F,Queens Plaza E/F,#EB6800,1
F,N,G21N,Queens Plaza,3966.20689655172,29,F06N,Kew Gardens-Union Tpke,4898.07692307692,00:15:31.870027,E/F,Queens Plaza E/F,#EB6800,1
F,N,G21N,Queens Plaza,3966.20689655172,29,G08N,Forest Hills-71 Av,4667.77777777778,00:11:41.570881,E/F/R,Queens Plaza E/F/R,#EB6800,1
F,N,G21N,Queens Plaza,3966.20689655172,29,G14N,Jackson Hts-Roosevelt Av,4317.85714285714,00:05:51.650246,E/F/R,Queens Plaza E/F/R,#EB6800,1
F,S,D17S,34 St-Herald Sq,2160,37,D20S,W 4 St-Wash Sq,2490.83333333333,00:05:30.833333,B/D/F/M,34 St-Herald Sq B/D/F/M,#EB6800,1
F,S,F06S,Kew Gardens-Union Tpke,570,40,G08S,Forest Hills-71 Av,810,00:04:00.000000,E/F,Kew Gardens-Union Tpke E/F,#EB6800,0
F,S,F06S,Kew Gardens-Union Tpke,570,40,G14S,Jackson Hts-Roosevelt Av,1147.69230769231,00:09:37.692308,E/F,Kew Gardens-Union Tpke E/F,#EB6800,0
F,S,F06S,Kew Gardens-Union Tpke,570,40,G21S,Queens Plaza,1453.84615384615,00:14:43.846154,E/F,Kew Gardens-Union Tpke E/F,#EB6800,0
F,S,G08S,Forest Hills-71 Av,810,40,D15S,47-50 Sts-Rockefeller Ctr,1980,00:19:30.000000,F/M,Forest Hills-71 Av F/M,#EB6800,1
F,S,G08S,Forest Hills-71 Av,810,40,D20S,W 4 St-Wash Sq,2490.83333333333,00:28:00.833333,F/M,Forest Hills-71 Av F/M,#EB6800,1
F,S,G08S,Forest Hills-71 Av,810,40,G14S,Jackson Hts-Roosevelt Av,1147.69230769231,00:05:37.692308,E/F/M/R,Forest Hills-71 Av E/F/M/R,#EB6800,1
F,S,G08S,Forest Hills-71 Av,810,40,G21S,Queens Plaza,1453.84615384615,00:10:43.846154,E/F/R,Forest Hills-71 Av E/F/R,#EB6800,1
F,S,G14S,Jackson Hts-Roosevelt Av,1147.69230769231,39,D15S,47-50 Sts-Rockefeller Ctr,1980,00:13:52.307692,F/M,Jackson Hts-Roosevelt Av F/M,#EB6800,1
F,S,G14S,Jackson Hts-Roosevelt Av,1147.69230769231,39,D20S,W 4 St-Wash Sq,2490.83333333333,00:22:23.141026,F/M,Jackson Hts-Roosevelt Av F/M,#EB6800,1
F,S,G14S,Jackson Hts-Roosevelt Av,1147.69230769231,39,G21S,Queens Plaza,1453.84615384615,00:05:06.153846,E/F/R,Jackson Hts-Roosevelt Av E/F/R,#EB6800,1
M,N,D15N,47-50 Sts-Rockefeller Ctr,2547.69230769231,26,G08N,Forest Hills-71 Av,4411.36363636364,00:31:03.671329,F/M,47-50 Sts-Rockefeller Ctr F/M,#EB6800,1
M,N,D15N,47-50 Sts-Rockefeller Ctr,2547.69230769231,26,G14N,Jackson Hts-Roosevelt Av,3731.25,00:19:43.557692,F/M,47-50 Sts-Rockefeller Ctr F/M,#EB6800,1
M,N,D20N,W 4 St-Wash Sq,2063.33333333333,27,D17N,34 St-Herald Sq,2367.77777777778,00:05:04.444444,B/D/F/M,W 4 St-Wash Sq B/D/F/M,#EB6800,1
M,N,D20N,W 4 St-Wash Sq,2063.33333333333,27,G08N,Forest Hills-71 Av,4411.36363636364,00:39:08.030303,F/M,W 4 St-Wash Sq F/M,#EB6800,1
M,N,D20N,W 4 St-Wash Sq,2063.33333333333,27,G14N,Jackson Hts-Roosevelt Av,3731.25,00:27:47.916667,F/M,W 4 St-Wash Sq F/M,#EB6800,1
